設問番号,設問内容,選択肢,選択肢内容,想定される人物像・資質,働き方・裁量,組織の風土,成長と挑戦,価値観・共鳴性,人間関係,顧客接点,業務スタイル,評価軸・報酬,多様性・自分らしさ,変化と安定
Q26,「理想のチーム」と聞いて思い浮かぶのは？,C. 雰囲気がよくて、何でも話しやすいチーム,心理的安全・オープンネス,組織風土・多様性・人間関係,,8,6,,5,5,8,,,
Q26,「理想のチーム」と聞いて思い浮かぶのは？,D. 各自が黙々とプロとして責任を果たしているチーム,専門性・信頼・安定性,業務スタイル・裁量・評価軸,,,,,,4,9,,,5
Q27,「この会社、面白い」と感じるのはどんな時？,A. 他にないサービスや仕組みを生み出している,革新性・挑戦,成長・風土・裁量,9,,,,,4,,9,5,8
Q27,「この会社、面白い」と感じるのはどんな時？,B. 社員のキャラや雰囲気が個性的で多様,多様性・自分らしさ,組織風土・自分らしさ・働き方,,5,8,5,,,,,,
Q27,「この会社、面白い」と感じるのはどんな時？,C. 社会課題に真剣に向き合っている,社会貢献・意義,顧客距離・価値観・風土,,,10,4,9,,,4,5,
Q27,「この会社、面白い」と感じるのはどんな時？,D. ロジックやデータに基づいて動いている,論理・構造・実直,業務スタイル・評価軸・強み,6,10,5,,9,,,6,5,
Q28,どんな「報酬」が一番モチベーションになる？,A. 成果がきちんと給与や昇進に反映されること,実力主義・納得性,評価軸・成長・業務,,10,4,,,,,,,10
Q28,どんな「報酬」が一番モチベーションになる？,B. 感謝の言葉や小さな承認を得られること,共感・温かさ,人間関係・風土・価値観,7,,8,5,,7,,7,8,4
Q28,どんな「報酬」が一番モチベーションになる？,C. 新しい経験やスキルがどんどん増えていくこと,挑戦・学び,成長・裁量・強み,8,8,5,,10,6,6,5,,
Q28,どんな「報酬」が一番モチベーションになる？,D. 好きなことをやり続けられる自由さ,自由・内発動機,自分らしさ・裁量・多様性,5,7,,,7,,,,,
Q29,「この人、働き方が素敵だな」と思う瞬間は？,A. 自分のスタイルを貫きつつ成果を出している時,自立・プロ意識,自分らしさ・裁量・評価軸,4,6,6,7,5,,7,7,10,10
Q29,「この人、働き方が素敵だな」と思う瞬間は？,B. 周囲に温かい気遣いをしながら働いている時,協調・支援・余白,人間関係・風土・裁量,,,9,4,6,,6,,,
Q29,「この人、働き方が素敵だな」と思う瞬間は？,C. スピーディに状況判断して次々に動いている時,行動・変化適応,成長・変化耐性・強み,,6,,,5,9,6,4,8,7
Q29,「この人、働き方が素敵だな」と思う瞬間は？,D. 意味や目的を大切にして行動している時,意義・内発的動機,価値観・裁量・顧客距離,8,,,,7,,6,4,,
Q30,就活を終えた後、「よかったな」と思いたいのは？,A. 自分の大切にしたいことを守れたこと,自己一致・納得感,価値観・裁量・自分らしさ,,9,,,8,8,,,4,4
Q30,就活を終えた後、「よかったな」と思いたいのは？,B. 一緒に働きたいと思える人と出会えたこと,共感・関係性,人間関係・風土・多様性,9,4,,,,9,8,7,,
Q30,就活を終えた後、「よかったな」と思いたいのは？,C. これからの成長が明確に見えていること,ビジョン・加速度,成長・業務・評価軸,,5,,,,,,,9,8
Q30,就活を終えた後、「よかったな」と思いたいのは？,D. 不安なく、日々を心穏やかに過ごせそうなこと,安定・安心・自律,働き方・安定性・自分らしさ,,,,,4,,,,4,4
